objective_id,original_objective,planned_claim,current_status,supporting_phase,supporting_artifact,evidence_strength,missing_evidence,next_required_action,requires_gpu,manuscript_destination,claim_allowed_now,notes
O01,Malignant versus non-malignant classification,Stage 1 performance on the frozen ISIC 2019 split,complete,"phase03,phase05",reports/phase05/conditional_hierarchical_internal_evaluation.md,strong_locked_internal,External performance and multi-seed uncertainty,Preserve as locked comparator; externally evaluate only under a frozen protocol,yes_future_only,Results;Discussion,yes_limited,Single seed and internal dataset only.
O02,"Malignant cancer-type classification: melanoma, BCC, SCC",Stage 2 subtype performance and imbalance response,complete,"phase03,phase04,phase05",reports/phase04/stage02_imbalance_aware_final_internal_evaluation.md,strong_locked_internal,External performance and broader uncertainty,Preserve selected Stage 2 evidence,yes_future_only,Methodology;Results;Discussion,yes_limited,SCC support is 94 on the internal test.
O03,Melanoma T-category or Breslow-thickness-group estimation,A defensible Stage 3 severity classifier is feasible and evaluated,blocked,none,configs/dataset_registry.yaml,none,EMB acquisition; license; integrity; label semantics; leakage-safe split; baseline,Complete Phase 09 audit before any Stage 3 training,yes_after_audit,Methodology;Results;Limitations,no,Failure of feasibility must be reported rather than forcing labels.
O04,Lightweight shared or parameter-efficient conditional framework,A three-task design reduces resources without unacceptable performance loss,missing,phase07_partial,reports/phase07/phase07_gate05a_efficiency_evidence_audit.md,weak_partial,No shared model; FLOPs; memory; matched latency; three-task results,Design only after Stage 3 feasibility; compare with separate models,yes,Methodology;Results,no,Current system uses two separately trained EfficientNet-B0 models.
O05,Partially labelled multi-dataset learning,Masked supervision can train eligible heads without inventing labels,missing,none,configs/dataset_registry.yaml,none,No masked-loss implementation; sampling protocol; training evidence,Freeze dataset/task masks and leakage controls before implementation,yes,Methodology;Experimental Setup,no,"Dataset roles exist, but learning support does not."
O06,Comparison with flat classification,Flat and hierarchical internal performance can be compared fairly,partial,"phase06c,phase07",reports/phase07/generated/statistical_analysis_results.json,strong_locked_comparator_only,No flat comparison with the unimplemented three-stage framework; no external comparison,Reuse the locked two-stage comparator result; compare the final framework only under a frozen protocol,yes_future_only,Results;Discussion,yes_two_stage_only,No statistically distinguishable macro-F1 difference was established for the locked flat-versus-two-stage comparison.
O07,Comparison with separate task-specific models,Shared/conditional design is competitive with separate task-specific models,partial,"phase03,phase04,phase05",reports/phase05/conditional_hierarchical_internal_evaluation.md,moderate_comparator_only,No Stage 3 standalone model; no matched three-task shared comparison,Train Stage 3 baseline then freeze matched comparison,yes,Results;Discussion,no,Two-task separate checkpoints are available only as a comparator.
O08,Class-imbalance handling,Imbalance-aware loss is evaluated across the proposed framework,partial,phase04,reports/phase04/stage02_imbalance_aware_final_internal_evaluation.md,moderate_stage2_only,No Stage 3 or shared-framework imbalance evidence; no broader multi-seed evidence,Preserve the locked Stage 2 result; select Stage 3 and shared-framework handling prospectively,yes,Methodology;Results;Limitations,yes_stage2_only,The completed Stage 2 sub-result does not complete framework-wide imbalance handling.
O09,End-to-end error-propagation analysis,Routing loss is quantified for the proposed three-stage framework,partial,"phase05,phase07",reports/phase07/generated/hierarchical_routing_decomposition.csv,strong_locked_two_stage_only,No Stage 3 routing or three-stage decomposition,Extend the locked two-stage protocol prospectively in Phase 14,yes,Results;Discussion,yes_two_stage_only,The completed two-stage routing analysis cannot be described as complete end-to-end three-stage error propagation.
O10,External-dataset evaluation,Frozen models have zero-shot evidence under domain shift,missing,none,configs/dataset_registry.yaml,none,HIBA acquisition; mapping; overlap audit; frozen evaluation,Predeclare compatibility and evaluation rules before viewing results,yes,Experimental Setup;Results;Limitations,no,External validation cannot prove broad clinical generalisation.
O11,XAI and Grad-CAM analysis,Preselected cases support a descriptive saliency analysis,missing,none,docs/01_scope_lock.md,none,No implementation; case-selection protocol; outputs; review,Preregister representative-case selection before generating maps,yes,Methodology;Figures;Discussion,no,XAI must not be presented as proof of clinical correctness.
O12,"Parameters, size, FLOPs, latency, memory, and conditional compute",Efficiency is measured comparably for all final systems,partial,"phase05,phase06c,phase07",reports/phase07/generated/efficiency_evidence_inventory.csv,mixed_partial,FLOPs/MACs; peak GPU/CPU memory; matched profiling; Stage 3/shared model,Freeze a matched Tesla T4 profiling protocol,yes,Results;Tables;Limitations,yes_restricted,"Parameters, file size, timing with limitations, and workload proxies only."
